Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Ambientes;Dormitorios;Baños;URL;Bajo_Precio;Cocheras;Etiqueta_Destacado;Porcentaje_Rebaja
zonaprop;belgrano;Departamento;Dos ambientes, ubicado en el tercer piso. Consta de living comedor con gran ventanal al aire y luz. Dormitorio separado con balcón a pulmón de manzana. Placard muy cómodo. Cocina separada con espacio para lavarropas y comedor diario pequeño. Posee ventilador de techo en cocina. Pisos de porcelanato, muebles modernos. Baño completo actualizado con ventana al exterior. Los pisos son de parquet en muy buen estado. Split. La planta cuenta con muy buena luminosidad. El estado es muy bueno. Servicios centrales. Ubicación Sobre la calle Santos Dumont, entre las calles Zapata y la Av. Cabildo, en el barrio de Palermo. Accesos De muy fácil acceso por ubicarse a metros de importantes Avenidas. Alquiler por 24 meses. Ajuste ipc trimestral. Requisitos Garantia y demostración de ingresos.;750000;200000;Santos Dumont al 2400;44;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-belgrano.-alquiler-dos-ambientes.-58384027.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=11;False;;Super destacado;
zonaprop;belgrano;Departamento;Departamento de 2 ambientes. 36m2. Aproximados. Lateral Servicios: Calefacción por losa radiante. Agua caliente por calefón. Muy Luminoso. Edificio de 15 Pisos 6 departamentos por piso- grupo electrógeno- 2 ascensores. detalle: Living-Comedor de 5 x 3 balcón francés. Hall distribución. 1 Dormitorio de 3 x 3 con placard – piso parquet. Baño completo. Cocina de 2. 50 x 2 mesada de mármol muebles bajo mesada instalación para lavarropa. Piso granito. Propiedad no apta para personas con movilidad reducida. Sergio Arias mat 81. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente a l cuatro con quince centésimos por ciento (4. 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisione inmobiliarias y gastos de gestoría de informes;650000;;Olazábal 3215;36;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-belgrano-r-2-ambientes-muy-luminoso-52089794.html?n_src=Listado&n_pg=1&n_pos=12;False;;Super destacado;
zonaprop;belgrano;Departamento;Dos ambientes funcional, con una distribución simple y efectiva. Al contrafrente, en muy buen estado. Recién pintado. Dormitorio y Living-Comedor a balcón con vista a verde. Amplica cocina con espacio para colocar mesay lavadero incorporado. Baño completo. Antigüedad 40 años. En las cercanías de muchos medios de transporte. Actualización trimestral por ipc. Garantía de cabaingresos comprobables que tripliquen aprox el valor del alquiler1 mes de adelanto 1 mes de depósito. Contrato 24 mese;650000;187000;Cramer Av. al 1800;48;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-dos-ambientes-con-balcon-en-belgrano.-57955358.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=14;False;;Destacado;
zonaprop;belgrano;Departamento;"Alquiler en una de las zonas mas lindas de belgrano R. Ubicación y Entorno. Dirección: Blanco Encalada 3100 (entre Zapiola y Freire). Conectividad: Excelente acceso a avenidas principales (Balbín a 100m y Cramer a 200m) y cercanía al tren (Estación Belgrano R de la línea Mitre a 400m). Servicios cercanos: Cercanía inmediata al Hipermercado Coto y al Hospital Pirovano, lo que garantiza acceso a abastecimiento y salud. Entorno visual: Al ser un edificio en torre y estar en una zona arbolada, ofrece vistas abiertas y mayor privacidad que un edificio entre medianeras. Características del Departamento. Distribución: 2 ambientes (living-comedor y un dormitorio). Luminosidad y Ventilación: Al ser ""al frente"", tener balcón y ser una torre, la entrada de luz natural y la circulación de aire son puntos clave. - Comodidades: Baño completo. Cocina independiente con lavadero (ideal para no tener la ropa a la vista en la cocina). Placard amplio en el dormitorio. - Climatización: Calefacción: Losa radiante (sistema confortable y parejo). Refrigeración: 1 equipo de aire acondicionado. Agua caliente: Calefón individual. Consideración Extra. - Tiene Totem de seguridad en la entrada del edificio, ademas de encargado. - Cochera: El hecho de que el edificio cuente con cocheras disponibles (aunque sea con costo aparte) es un valor agregado importante, ya que estacionar en esa zona de Belgrano puede ser dificultoso en horarios comerciales. El contrato puede ser de 1 o 2 años, con aumento trimestral por icl. El inquilino tiene que abonar, el alquiler mensual, expensas ordinarias, luz, agua, gas, abl y seguro de incendio. La garantía es con el seguro de Finaer o un garante con propiedad en Caba. Llámenos al +54 9 11 para más información o para agendar una visita. Tanto descripciones como medidas consignadas en esta ficha son aproximadas, de manera orientativa. Además, los montos de expensas, tasas e impuestos deben de ser confirmados ya que dependen de la fecha en la que se obtuvo la información. Cucicba Matrícula Nº 6342";700000;140000;Blanco Encalada 3100;50;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-belgrano-r-blanco-encalada-3100-58325686.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=15;False;;Destacado;
zonaprop;belgrano;Departamento;Excepcional departamento con balcon vista abierta a jardines, piso 6°, superluninoso, impecable. Sup. 36m2 cub, 37m2 totales. El balcon da al Living comedor. Cocina completa con lavadero, baño completo. Dormitorio, también con ventana con vista abierta a verde y placares. Excelente Ubicacion. Condiciones: 1 mes de adelanto, un mes de deposito, actualización trimestral por ipc, garantía propietaria en caba o seguro de caucion de entidad bancaria Gloria V Morelli, Cel: Ver datos Inmobiliaria. Cucicba 6404;600000;220000;Mendoza 3278;37;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-excelente-2-amb-con-balcon-superluminoso-vista-abierta-58204542.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=16;False;;Destacado;
zonaprop;belgrano;Departamento;Alquiler 2 Ambientes con Balcones – Muy Luminoso – Belgrano – Cochera Opcional. Departamento de 2 ambientes de 51 m² totales, ubicado en segundo piso al frente, en una excelente zona de Belgrano. La unidad se destaca por su gran luminosidad, orientación este y ventilación cruzada, con balcón al frente desde el living y segundo balcón al contrafrente con salida desde el dormitorio. Cuenta con un amplio living comedor muy luminoso con salida al balcón, cocina completa semi integrada con buen espacio de guardado, baño completo y dormitorio cómodo con dos amplios placares y salida al balcón contrafrente. Los pisos son de parquet en excelente estado. El departamento posee calefacción por radiadores y agua caliente por caldera individual, lo que brinda mayor confort y control del consumo. Edificio moderno con amenities que incluyen terraza con parrilla y sum, ideal para reuniones y uso social. Cochera (espacio guardacoches) opcional: $120. 000. Ubicación estratégica en Belgrano, con cercanía a Av. Cabildo, Av. Congreso y Av. Crámer, con excelente conectividad. Próximo a estación de Subte línea D, Metrobus Norte y múltiples líneas de colectivo, lo que permite rápido acceso a distintos puntos de la ciudad. Zona residencial consolidada con amplia oferta comercial, gastronómica, educativa y de servicios, además de cercanía a espacios verdes y centros de salud. La información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del Título de Propiedad del Inmueble, el Reglamento de Copropiedad del edificio y disposiciones municipales vigentes al referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste.;730000;230000;Moldes 1000;48;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-44-m-sup2--con-1-dormitorio-en-58378060.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=17;False;1;Destacado;
zonaprop;belgrano;Departamento;Mcal. Antonio J. Sucre y Av. Crámer. * Excelente Dpto. Al Fte. Con Balcón. * con redes O. Norte. * Amplio Living Com con salida a balcón. * Amplio Dormti. C-plac. * Amplia Cocina equipada. * Baño completo. * A-Ac. * Recién pintado. * Promocion Febrero por Carnaval!.;600000;220672;Mcal. Antonio J. Sucre 2920;48;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-mcal.-a.-j.-sucre-y-av-cramer-al-fte.-bcon-2-amb.-coc.-57436036.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=18;False;;Destacado;
zonaprop;belgrano;Departamento;Departamento en alquiler de 2 ambiente ubicado en Coghaln. En excelente estado, muy luminoso, balcón al frente, cocina integrada y baño completo. Amenities, sum, Solarium, parrilla, y laundryAmueblado opcionalExpensas $ 150. 000sapVer datos;790000;150000;Rivera al 3000;44;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-apto-profesional-en-coghlan-58390709.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=19;False;;Destacado;
zonaprop;belgrano;Departamento;Hermoso dos ambientes, muy amplio y luminoso, balcon frances, apto profesional, ideal consultorio. Totalmente remodelado a nuevo, listo para estrenar, en el corazon de Belgrano, a pasos de Avda. Cabildo, a 2 cuadras de la estacion de subte Jose Hernandez, todas las principales lineas de colectivos, vigilancia las 24 horas para acceso a las unidades evitando bajar a abrir. Oportunidad unica en la mejor zona de Belgrano. Dueño directo, contrato a dos años valor actualizable por ipc, garantía propietaria de caba, ingresos verificables, mes de deposito y mes adelantado, no cobramos comisión;750000;120000;Virrey del Pino 2600;40;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclappa-hermoso-dos-ambientes-muy-amplio-y-luminoso-apto-57591607.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=20;False;;Destacado;
zonaprop;belgrano;Departamento;Hermoso 2 amb. En dúplex con balcón. Hermosa vista a pulmón de manzana. Luz y silencio. Se encuentra en una excelente ubicación de Palermo, a mts de Av. Del Libertador, en un área comercial, rodeada de puntos verdes y accesos. pb: Toilette de recepción y cocina completa con espacio para heladera o posible lavarropas. Pa: Dormitorio con placard y baño completo. Calefacción mediante aa. Agua caliente por caldera individual. Datos útiles- Barrio: Belgrano. - Comuna: 13. - Área Hospitalaria: htal. Dr. Pirovano. - Colectivos: 15, 29, 107, 114, 130. - Tren: Mitre. - Subte: Línea D. Requisitos y condiciones: - Ingresos demostrables que tripliquen el costo de alquiler (podes complementar con los de familiares/allegados) - Garantía propietaria de capital federal o en su defecto, Póliza de sistema finaer S. A- Abonar mes de alquiler por adelantado. - Abonar mes de depósito en garantía. - Abonar un proporcional de días (si aplica). Asesoramiento: - Línea comercial (WhatsApp): Ver datos. - Líneas generales: Ver datos o Ver datos. - Horario de atención: de Lunes a Viernes de 9 a 13 y de 14 a 18hs. aviso legal: La ficha, la gráfica de planos y las fotos del presente inmueble son facilitadas por Veglienzone Gestión Inmobiliaria, al solo efecto de otorgar una rápida visualización del inmueble. Todas las medidas son meramente descriptivas y esquemáticas. Las mismas han sido computadas con medidor ultrasónico de distancias, por lo cual se deja expresamente aclarado que pueden existir discordancias con las medidas exactas que surgen de la realidad y/o de la escritura y/o de los planos del inmueble. M. Cucicba 4184.;800000;297660;Franklin D Roosevelt al 1800;55;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-dpto-2-amb-duplex-belgrano-58310209.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=21;False;;Destacado;
