Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Cubiertos;Ambientes;Dormitorios;Baños;URL;Antiguedad;Descripcion_Breve;Visitas_Count;Visto_Estado
argenprop;belgrano;Departamento;Departamento en alquiler en Belgrano con Laundry + Sum.;550000;158238;Superi 2500, Piso 6;;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--19010389;20;Monoambiente al frente con balcón, muy luminoso. Presenta aire acondicionado, estufa y placard, agua caliente central. Cocina y baño completo. Con conexión para lavarropas. Laundry + sum. Expensas: $158238 (incluye aysa), agip $ 17208. Contrato a 2 años ajuste trimestral por ipc el futuro locatario deberá presentar recibo de sueldo acorde al valor locativo a pagar y un garante familiar directo propietario y con recibo de sueldo no se aceptan mascotas consultas de lunes a viernes de 9 a 17 hs al o por msj al belta propiedades colegiados eduardo ambrosio matriculas 72 del colegio profesional inmobiliario ( cuciba);100;Visto
argenprop;belgrano;Departamento;MONOAMBIENTE 41 m2 DIVISIBLE NUEVO DISEÑO BALCON FRENTE;600000;120000;Av Dr R Balbin 2300, Piso 6;35;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-1-ambiente--6116885;12;Excelente monoambiente divisible todo al frente muy luminoso con balcón aterrazado de 3,60 x 1,80 sol buena vista. Aa frio calor ventanales con black out. Hall de entrada con placard baño completo cocina integrada equipada espacio para heladera grande mesada con hornallas eléctricas alacenas. Ambiente de 8 x 4,30. Casi esquina olazábal. 1 cuadra av. Crámer . 4 cuadras de plaza castelli ( estación tren belgrano r) zona residencial medios de transporte, colegios, zona gastronómica, supermercados. 6 cuadras av. Cabildo subte linea d. Contrato 2 años en pesos ipc abl electricidad visitas malvina mugica garante o seguro de caución;83;Visto
argenprop;belgrano;Departamento;Departamento - Belgrano;500000;122000;O higgins al 1600;20;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18164920;2;"Monoambiente al frente con balcón, reciclado a nuevo hace 2 años. En pleno corazón de belgrano. Edificio de categoría con ascensor. Muy luminoso pisos de madera, kitchnette y baño completo. Agua caliente central. Instalación eléctrica nueva. Cerca de las avenidas luis maria campos, cabildo y juramento. A 3 cuadras de la estación jose hernandez, subte ""d"". Internet. El precio del alquiler temporario inlcuye expensas, abl, aysa e internet. Luz aparte. El precio del alquiler normal no incluye gastos. Se puede alquilar cochera en garage de enfrente. Disponible a partir de octubre 2025. Abbacabanillas.Net arq.Roberto pablo cabanillas. Mat cucicba 708. Ley 5859 art 4: para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes"".- Ley 5115: ""no accesible"".";50;Visto
argenprop;belgrano;Departamento;EXCELENTE DEPTO. AL FRENTE CON BALCÓN Y AIRE ACONDICIONADO;800000;240000;Montañeses 1800, Piso 3;;2;1;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18914479;35;Excelente 2 ambientes al frente con balcón, aire acondicionado en living, doble circulación, piso de parquet, baño completo, cocina independiente, lavadero, habitación con placard. Apto profesional. Apto movilidad reducida no se aceptan mascotas matricula 6246. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. Consultas al o;50;Visto
argenprop;belgrano;Departamento;2 ambientes al frente, excelente ubicación.;650000;150000;J De Amenabar 1100, Piso 1;32;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--6690978;30;Excelente departamento de 2 ambientes, en inmejorable ubicación, a 2 cuadras de cabildo. Dormitorio con balcón al frente, cocina completa con espacio de lavadero. Baño completo. Piso de parquet. “Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes”.;49;Visto
argenprop;belgrano;Departamento;Departamento monoambiente con balcón con vista abierta en Belgrano R;550000;133000;Av Monroe al 3300;28;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-1-ambiente--18932123;12;Monoambiente amplio en belgrano con balcón con vista panorámica! Ubicado en una de las zonas más prácticas de la ciudad, sobre av. Monroe, este monoambiente combina comodidad y excelente ubicación. Rodeado de múltiples opciones de transporte público, locales gastronómicos y con cercanía a hospitales, es ideal tanto para vivir como para invertir. La unidad se encuentra en un piso compartido con tres departamentos más. Al ingresar, cuenta con un amplio placard con cajonera, muebles de bajo mesada y aire acondicionado instalado. Enfrente se ubica un baño completo con bañera, con ventanilla al exterior que brinda luz natural y ventilación. El ambiente principal tiene salida a un balcón al frente, con una excelente vista abierta que aporta luminosidad y amplitud. El edificio dispone de laundry con dos lavarropas de uso común. Expensas diciembre: $133.000 condiciones de alquiler vivienda: - contrato por 24 meses - indexación trimestral por ipc - mes de adelanto - mes de deposito - demostración de ingresos condiciones de alquiler comercial: - contrato por 24 meses - indexación trimestral por ipc - mes de adelanto - mes de deposito - demostración de ingresos. - %6 del contrato a cargo del inquilino. Cifre profesionales inmobiliarios sucursal villa pueyrredon - sucursal villa urquiza - sucursal villa devoto - nueva sucursal belgrano -;33;Visto
argenprop;belgrano;Departamento;ALQUILER - DEPARTAMENTO - MONOAMBIENTE - BELGRANO.;550000;130000;MANUEL UGARTE 1500;26;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18543457;9;Hermoso monoambiente en alquiler en el barrio de belgrano ideal para vivir o trabajar. Estar luminoso con salida a balcon con vista al frente. Cocina americana, anafes electricos con muebles bajo mesada, baño con ducha. Se alquila sin muebles. Aire frio calor colocado en unidad y cortinas roller. Acepta solo gato, no perro. Laundry en primer piso. Veni a visitarlo. Disponible ya. Visitas y consultas: - - +54 9 las medidas son a modo informativo y pueden sufrir variaciones siendo las definitivas las que surjan de la escritura o boleto;18;Visto
argenprop;belgrano;Departamento;Departamento en Alquiler en Belgrano, Capital Federal, Buenos Aires;650000;70000;Mendoza 2100;25;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18510293;0;A estrenar! Monoambiente de diseño todo luz y vista verde en la mejor esquina de belgrano ¡Oportunidad única en la mejor esquina (mendoza y cuba) de belgrano! Te presentamos este espectacular monoambiente a estrenar, apto profesional, ubicado en un 5to piso. Sus 28 m² están diseñados para maximizar el confort y la luz. La propiedad es completamente vidriada, lo que te regala una vista abierta a las copas de los árboles del barrio. El departamento se entrega listo para que traigas solo la cama! Está casi, totalmente equipado! Balcón y ventanales de piso a techo con vista verde. Se entrega con aire acondicionado, todos los spots de luces led instalados y cortinado doble (blackout textil + cortina). Cocina integrada moderna y funcional, con anafes eléctricos, heladera bajo mesada, y muebles de alto y bajo mesada de excelente calidad. División inteligente: incluye una barra/mesa movible que permite dividir el ambiente y generar un espacio de comedor, acompañada de dos banquetas de estilo moderno. Baño completo de diseño con ducha con mampara de vidrio, vanitory, muebles de guardado y accesorios de baño incluidos. Placard completo con interiores ya instalados. Expensas muy bajas! Agua caliente por caldera general. Aire acondicionado frio-calor. Laundry. Contrato de alquiler por 24 meses. Aumento trimestral por ipc. Deposito en dolares. Ingresos demostrables.. - Mat.;10;Visto
argenprop;belgrano;Departamento;Departamento en Alquiler en Belgrano, Capital Federal, Buenos Aires;570000;133000;Av. Congreso 2000;32;;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18766806;20;"Monoambiente. Piso alto con vista abierta hall de recepción amplio ambiente con pisos de madera y con placard balcón al contrafrente cocina integrada baño completo aire split frio todo eléctrico expensas: $133.000 (incluye agua) excelente ubicación: a 3 cuadras de av. Cabildo y de estrella. De subte linea d ""congreso de tucumán"", a 5 cuadras estacionalidad de tren línea mitre ""nuñez"" y a 5 cuadras de av. Libertador. Disponible a partir del 1 de febrero. Requisitos: - mes de alquiler por adelantado - depósito: usd 400 - garantía de propietario (gastos de informes) o seguro de caución - ingresos demostrables - contrato por 2 años - ajuste trimestral según ipc. - Mat.";9;Visto
argenprop;belgrano;Departamento;Belgrano 2 ambientes al frente con balcon. seminuevo con sum y parrilla;750000;125000;Av Dr R Balbin 2500, Piso 6;47;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--2954688;15;Hermoso semipiso al frente y contrafrente con balcon corrido aterrazado. Para vivienda o profesional , baño completo, cocina tipo americana completa, lugar para lavarropas o lavavajillas, servicios individuales de agua caliente y losa radiante.. A mts de av cramer, av cabildo, y acceso norte. Edificio con amenities........ Las expensas incluyen aysa,,............................ Las especificaciones y medidas son informativas y aproximadas.No se incluyen: mobiliarios, artefactos eléctricos, luminarias o de aire ..Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes.Consulte...;8;Visto
argenprop;belgrano;Departamento;Departamento en alquiler en Belgrano;470000;201000;José Hernández 1600, Piso 7;35;;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18875551;45;Hermoso y muy bien divino monoambiente. Balcón corrido al frente . Todo luz y sol. Apto profesional o vivienda . Recién pintado. Aire acondicionado split . Ubicación de privilegio, frente a barrancas de belgrano. A pasos av del libertador. Cocina kitchinette y baño completo . Cerca a universidad di tella. Las expensas incluyen aysa. Pata agendar entrevista comunicarse telef con inmobiliaria ariel :;5;Visto
argenprop;belgrano;Departamento;Departamento - Belgrano;800000;245000;Cabildo al 3400;43;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--17036106;4;Luminoso departamento nuevo de 2 ambientes al frente, con balcón a la avenida cabildo. 1 dormitorio, living comedor a balcón, vista abierta, cocina integrada, baño completo. Aire acondicionados. Excelente estado. Apto profesional. Cochera.(Nro. 8) . Sucursal vicente lópez sucursal martínez sucursal la lucila .;2;Visto
argenprop;belgrano;Departamento;Monoambiente con piscina;550000;160000;Manuel Ugarte 2300, Piso 5;32;;1;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--19003640;;Monoambiente con piscina contrafrente con balcon. Edificio de categoria, cocina separada y baño completo. Impecable y luminoso departamento, muy amplio. Ugarte esquina cabildo, subte metrobus centro comercial. Inmobiliaria ugarte para mudarte tel .;2;Visto
argenprop;belgrano;Departamento;Ciudad de la Paz 2783;725000;75000;Ciudad de la Paz 2783;32;3;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18190565;0;Belgrano, ciudad de la paz 2700, esquina manuel ugarte a 100 metros de av. Cabildo, subte linea d, metrobus ultimas unidades disponibles, de 1, 2 y 3 ambientes con balcón. Hermosas terminaciones. Amenities varios , piscina, terraza, laundry, sum, etc ingreso biometrico por hipcam estamos entregando las unidades en septiembre 2025 detalles de diseño: solados son símil madera en todos los ambientes excepto los baños, balcones y las áreas comunes, de porcelanato de 1o calidad. Cocinas las alacenas y los bajo mesadas son de melamina marca reno con herrajes de aluminio. Mesada de granito nacional con pileta de acero inoxidable. Carpinterías aberturas de aluminio y vidrio. Los pasamanos de las barandas serán metálicos negros. Puertas de acceso en madera enchapada. Puertas interiores en madera pintada con marco metálico. Baños losa sanitaria línea bari de ferrum grifería monocomando fv ascensores de tipo electromecánico. Puertas automáticas en todos los pisos y revestidas en acero inoxidable y espejo placares frentes integrales con puertas corredizas e interiores. Agua caliente distribución de agua caliente por calderas de alta recuperación.;1;Visto
